# id,nutrient_name,display_name
1051,"Water","Water"
1008,"Energy","Energy"
1003,"Protein","Protein"
1004,"Total lipid (fat)","Total fat"
1005,"Carbohydrate, by difference","Carbohydrates"
1079,"Fiber, total dietary","Dietary fiber"
2000,"Sugars, total including NLEA","Sugars"
1258,"Fatty acids, total saturated","Saturated fat"
1292,"Fatty acids, total monounsaturated","Monounsaturated fat"
1293,"Fatty acids, total polyunsaturated","Polyunsaturated fat"
1253,"Cholesterol","Cholesterol"
1087,"Calcium, Ca","Calcium"
1089,"Iron, Fe","Iron"
1090,"Magnesium, Mg","Magnesium"
1091,"Phosphorus, P","Phosphorus"
1092,"Potassium, K","Potassium"
1093,"Sodium, Na","Sodium"
1095,"Zinc, Zn","Zinc"
1098,"Copper, Cu","Copper"
1101,"Manganese, Mn","Manganese"
1103,"Selenium, Se","Selenium"
1162,"Vitamin C, total ascorbic acid","Vitamin C"
1165,"Thiamin","Vitamin B1"
1166,"Riboflavin","Vitamin B2"
1167,"Niacin","Vitamin B3"
1170,"Pantothenic acid","Vitamin B5"
1175,"Vitamin B-6","Vitamin B6"
1190,"Folate, DFE","Folate"
1180,"Choline, total","Choline"
1178,"Vitamin B-12","Vitamin B12"
1106,"Vitamin A, RAE","Vitamin A"
1109,"Vitamin E (alpha-tocopherol)","Vitamin E"
1114,"Vitamin D (D2 + D3)","Vitamin D"
1185,"Vitamin K (phylloquinone)","Vitamin K"
